Timestamp,UsedRAM_MB,TotalRAM_MB,CPU_Usage_Percent
2025-12-25 19:25:35,1129,2762,8.5
2025-12-25 19:25:36,1136,2762,12.7
2025-12-25 19:25:37,1135,2762,21.0
2025-12-25 19:25:38,1136,2762,14.9
2025-12-25 19:25:39,1149,2762,38.1
2025-12-25 19:25:40,1136,2762,11.9
2025-12-25 19:25:41,1136,2762,14.9
2025-12-25 19:25:42,1137,2762,14.3
2025-12-25 19:25:43,1139,2762,8.7
2025-12-25 19:25:44,1141,2762,25.5
2025-12-25 19:25:45,1139,2762,17.8
2025-12-25 19:25:46,1139,2762,6.9
2025-12-25 19:25:47,1142,2762,15.6
2025-12-25 19:25:48,1144,2762,20.8
2025-12-25 19:25:50,1142,2762,22.8
2025-12-25 19:25:51,1143,2762,13.6
2025-12-25 19:25:52,1144,2762,20.4
2025-12-25 19:25:53,1146,2762,18.1
2025-12-25 19:25:54,1145,2762,15.7
2025-12-25 19:25:55,1149,2762,28.4
2025-12-25 19:25:56,1149,2762,20.5
2025-12-25 19:25:57,1149,2762,11.8
2025-12-25 19:25:58,1149,2762,16.0
2025-12-25 19:25:59,1149,2762,17.9
2025-12-25 19:26:00,1150,2762,17.2
2025-12-25 19:26:01,1150,2762,10.3
2025-12-25 19:26:02,1154,2762,16.3
2025-12-25 19:26:04,1154,2762,18.1
2025-12-25 19:26:05,1154,2762,15.8
2025-12-25 19:26:06,1157,2762,19.1
2025-12-25 19:26:07,1157,2762,14.2
2025-12-25 19:26:08,1159,2762,9.6
2025-12-25 19:26:09,1159,2762,13.9
2025-12-25 19:26:10,1146,2762,24.8
2025-12-25 19:26:12,1135,2762,17.2
2025-12-25 19:26:13,1140,2762,13.2
2025-12-25 19:26:14,1141,2762,13.9
2025-12-25 19:26:15,1139,2762,10.4
2025-12-25 19:26:16,1140,2762,11.5
2025-12-25 19:26:17,1143,2762,21.0
2025-12-25 19:26:18,1143,2762,19.0
2025-12-25 19:26:19,1144,2762,13.5
2025-12-25 19:26:20,1145,2762,15.0
2025-12-25 19:26:21,1146,2762,18.2
2025-12-25 19:26:23,1145,2762,13.0
2025-12-25 19:26:24,1145,2762,14.2
2025-12-25 19:26:25,1136,2762,31.3
2025-12-25 19:26:26,1135,2762,14.2
2025-12-25 19:26:27,1135,2762,9.9
2025-12-25 19:26:28,1138,2762,15.8
2025-12-25 19:26:29,1138,2762,19.3
2025-12-25 19:26:30,1136,2762,8.6
2025-12-25 19:26:31,1137,2762,9.3
2025-12-25 19:26:32,1141,2762,11.5
2025-12-25 19:26:34,1139,2762,16.5
2025-12-25 19:26:36,1140,2762,23.7
2025-12-25 19:26:37,1142,2762,11.3
2025-12-25 19:26:38,1141,2762,14.9
2025-12-25 19:26:39,1141,2762,10.7
2025-12-25 19:26:41,1142,2762,15.0
